Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1745063958
Base Time Fractional,.371963640
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.504376996309e-07,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000107740,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:18,.371963640
2,0.001728940755129,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099935014,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:18,.541364060
3,0.003458305960521,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199944916,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:18,.710770700
4,0.005198651459068,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299850017,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:18,.880191280
5,0.006919781677425,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399881646,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:19,.049589020
6,0.00866452138871,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499900598,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:19,.219016380
7,0.01038455218077,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599931482,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:19,.388408980
8,0.01213010959327,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699964075,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:19,.557814280
9,0.01384656876326,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799993431,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:19,.727233700
10,0.01559502072632,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899868101,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:19,.896636720
11,0.01731202937663,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999917829,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:20,.066053720
12,0.0190599206835,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099932852,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:20,.235466540
13,0.02078063599765,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199979088,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:20,.404860540
14,0.02252660319209,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300020667,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:20,.574274460
15,0.02423853240907,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399866887,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:20,.743697480
16,0.02598917856812,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001499906939,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:20,.913104080
17,0.02770673297346,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001599943789,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:21,.082505340
18,0.02945641614497,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001699984568,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:21,.251915220
19,0.03117148764431,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001800008758,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:21,.421331840
20,0.03292433917522,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001900055067,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:21,.590742080
21,0.0346359834075,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001999901433,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:21,.760155940
22,0.03638621419668,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002099928824,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:21,.929546560
23,0.03810087218881,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002199989976,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:22,.098950360
24,0.03985631838441,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002299996995,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:22,.268357820
25,0.04156878590584,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002400040394,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:22,.437769680
26,0.04331311583519,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002500081609,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:22,.607201240
27,0.04502353444695,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002599936561,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:22,.776604400
28,0.04677649587393,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002699946053,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:22,.946017320
29,0.04849142208695,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002799993381,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:23,.115432120
30,0.05024372041225,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002900025574,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:23,.284841680
31,0.05196909606457,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003000057186,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:23,.454267780
32,0.05369681864977,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003099945025,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:23,.623681020
33,0.05543673783541,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003199960338,Amp DC,.001,T,4W,F,F,04/19/2025,11:59:23,.793100540
